timestamp,channel,moisture,pump_on,duration_seconds
2026-06-04 11:14:29,0,124,0,0
2026-06-04 11:30:01,0,28,0,0
2026-06-04 11:32:01,0,25,0,0
2026-06-04 11:34:01,0,19,0,0
2026-06-04 11:36:01,0,28,0,0
2026-06-04 11:38:01,0,19,0,0
2026-06-04 11:40:01,0,25,0,0
2026-06-04 11:42:01,0,25,0,0
2026-06-04 11:44:01,0,24,0,0
2026-06-04 11:46:01,0,25,0,0
2026-06-04 11:48:01,0,18,0,0
2026-06-04 11:50:01,0,7,0,0
2026-06-04 11:52:02,0,16,0,0
2026-06-04 11:54:01,0,19,0,0
2026-06-04 11:56:01,0,31,0,0
2026-06-04 11:58:01,0,18,0,0
2026-06-04 12:00:02,0,16,0,0
2026-06-04 12:02:01,0,18,0,0
2026-06-04 12:04:01,0,19,0,0
2026-06-04 12:06:01,0,24,0,0
2026-06-04 12:08:02,0,24,0,0
2026-06-04 12:10:01,0,16,0,0
2026-06-04 12:12:01,0,25,0,0
2026-06-04 12:14:01,0,18,0,0
2026-06-04 12:16:01,0,18,0,0
2026-06-04 12:18:01,0,31,0,0
2026-06-04 12:20:01,0,24,0,0
2026-06-04 12:22:01,0,24,0,0
2026-06-04 12:24:01,0,25,0,0
2026-06-04 12:26:01,0,7,0,0
2026-06-04 12:28:01,0,19,0,0
2026-06-04 12:30:01,0,25,0,0
2026-06-04 12:32:01,0,24,0,0
2026-06-04 12:34:01,0,28,0,0
2026-06-04 12:36:01,0,31,0,0
2026-06-04 12:38:02,0,31,0,0
2026-06-04 12:40:01,0,31,0,0
2026-06-04 12:42:01,0,64,0,0
2026-06-04 12:44:01,0,28,0,0
2026-06-04 12:46:02,0,31,0,0
2026-06-04 12:48:01,0,28,0,0
2026-06-04 12:50:01,0,64,0,0
2026-06-04 12:52:01,0,30,0,0
2026-06-04 12:54:02,0,64,0,0
2026-06-04 12:56:01,0,64,0,0
2026-06-04 12:58:01,0,31,0,0
2026-06-04 13:00:01,0,31,0,0
2026-06-04 13:02:01,0,64,0,0
2026-06-04 13:04:01,0,25,0,0
2026-06-04 13:06:01,0,64,0,0
2026-06-04 13:08:01,0,64,0,0
2026-06-04 13:10:01,0,65,0,0
2026-06-04 13:12:01,0,31,0,0
2026-06-04 13:14:01,0,66,0,0
2026-06-04 13:16:01,0,19,0,0
2026-06-04 13:18:01,0,64,0,0
2026-06-04 13:20:01,0,64,0,0
2026-06-04 13:22:01,0,64,0,0
2026-06-04 13:24:01,0,66,0,0
2026-06-04 13:26:01,0,66,0,0
2026-06-04 13:28:01,0,31,0,0
2026-06-04 13:30:01,0,64,0,0
2026-06-04 13:32:01,0,64,0,0
2026-06-04 13:34:01,0,64,0,0
2026-06-04 13:36:01,0,64,0,0
2026-06-04 13:38:01,0,64,0,0
2026-06-04 13:40:02,0,64,0,0
2026-06-04 13:42:01,0,64,0,0
2026-06-04 13:44:01,0,64,0,0
2026-06-04 13:46:01,0,64,0,0
2026-06-04 13:48:02,0,67,0,0
2026-06-04 13:50:01,0,64,0,0
2026-06-04 13:52:01,0,66,0,0
2026-06-04 13:54:01,0,28,0,0
2026-06-04 13:56:02,0,24,0,0
2026-06-04 13:58:01,0,16,0,0
2026-06-04 14:00:01,0,4,0,0
2026-06-04 14:02:01,0,16,0,0
2026-06-04 14:04:01,0,16,0,0
2026-06-04 14:06:01,0,4,0,0
2026-06-04 14:08:01,0,0,0,0
2026-06-04 14:10:01,0,1,0,0
2026-06-04 14:12:01,0,1,0,0
2026-06-04 14:14:01,0,4,0,0
2026-06-04 14:16:01,0,16,0,0
2026-06-04 14:18:02,0,1,0,0
2026-06-04 14:20:01,0,16,0,0
2026-06-04 14:22:01,0,16,0,0
2026-06-04 14:24:01,0,3,0,0
2026-06-04 14:26:02,0,4,0,0
2026-06-04 14:28:01,0,0,0,0
2026-06-04 14:30:01,0,0,0,0
2026-06-04 14:32:01,0,0,0,0
2026-06-04 14:34:02,0,4,0,0
2026-06-04 14:36:01,0,0,0,0
2026-06-04 14:38:01,0,7,0,0
2026-06-04 14:40:01,0,16,0,0
2026-06-04 14:42:01,0,4,0,0
2026-06-04 14:44:01,0,1,0,0
2026-06-04 14:46:01,0,4,0,0
2026-06-04 14:48:01,0,2,0,0
2026-06-04 14:50:01,0,3,0,0
2026-06-04 14:52:01,0,6,0,0
2026-06-04 14:54:01,0,4,0,0
2026-06-04 14:56:02,0,16,0,0
2026-06-04 14:58:01,0,3,0,0
2026-06-04 15:00:01,0,4,0,0
2026-06-04 15:02:01,0,4,0,0
2026-06-04 15:04:02,0,3,0,0
2026-06-04 15:06:01,0,16,0,0
2026-06-04 15:08:01,0,1,0,0
2026-06-04 15:10:01,0,3,0,0
2026-06-04 15:12:01,0,0,0,0
2026-06-04 15:14:01,0,3,0,0
2026-06-04 15:16:01,0,16,0,0
2026-06-04 15:18:01,0,3,0,0
2026-06-04 15:20:01,0,4,0,0
2026-06-04 15:22:01,0,1,0,0
2026-06-04 15:24:01,0,0,0,0
2026-06-04 15:26:02,0,16,0,0
2026-06-04 15:28:01,0,16,0,0
2026-06-04 15:28:39,0,4,0,0
2026-06-04 15:29:09,0,16,0,0
2026-06-04 15:29:52,0,987,1,10
2026-06-04 15:30:11,0,271,1,10
2026-06-04 15:32:01,0,124,0,0
